,code,name,date,weight
314,601000,唐山港,2017-06-01,0.32
315,002595,豪迈科技,2017-06-01,0.24
316,002266,浙富控股,2017-06-01,0.18
317,002064,华峰氨纶,2017-06-01,0.13
318,002005,德豪润达,2017-06-01,0.12
319,600823,世茂股份,2017-06-01,0.15
320,600765,中航重机,2017-06-01,0.16
321,002191,劲嘉股份,2017-06-01,0.23
322,002194,武汉凡谷,2017-06-01,0.06
323,600717,天津港,2017-06-01,0.28
324,600108,亚盛集团,2017-06-01,0.18
325,600645,中源协和,2017-06-01,0.18
326,300115,长盈精密,2017-06-01,0.42
327,603369,今世缘,2017-06-01,0.12
328,002344,海宁皮城,2017-06-01,0.12
329,600058,五矿发展,2017-06-01,0.14
330,002011,盾安环境,2017-06-01,0.2
331,000661,长春高新,2017-06-01,0.43
332,300113,顺网科技,2017-06-01,0.29
333,600770,综艺股份,2017-06-01,0.15
334,600195,中牧股份,2017-06-01,0.11
335,600458,时代新材,2017-06-01,0.12
336,000547,航天发展,2017-06-01,0.26
337,600736,苏州高新,2017-06-01,0.13
338,600790,轻纺城,2017-06-01,0.14
339,000667,美好置业,2017-06-01,0.23
340,600219,南山铝业,2017-06-01,0.49
341,600067,冠城大通,2017-06-01,0.18
342,002512,达华智能,2017-06-01,0.18
343,600917,重庆燃气,2017-06-01,0.04
344,000975,银泰资源,2017-06-01,0.22
345,600551,时代出版,2017-06-01,0.08
346,002707,众信旅游,2017-06-01,0.13
347,002589,瑞康医药,2017-06-01,0.19
348,000926,福星股份,2017-06-01,0.19
349,600894,广日股份,2017-06-01,0.14
350,600125,铁龙物流,2017-06-01,0.21
351,603567,珍宝岛,2017-06-01,0.08
352,000931,中 关 村,2017-06-01,0.11
353,000680,山推股份,2017-06-01,0.14
354,601777,力帆股份,2017-06-01,0.14
355,600280,中央商场,2017-06-01,0.12
356,000829,天音控股,2017-06-01,0.16
357,000979,中弘股份,2017-06-01,0.25
358,600351,亚宝药业,2017-06-01,0.11
359,000973,佛塑科技,2017-06-01,0.15
360,002315,焦点科技,2017-06-01,0.08
361,002309,中利集团,2017-06-01,0.11
362,000620,新华联,2017-06-01,0.15
363,002155,湖南黄金,2017-06-01,0.18
364,002573,清新环境,2017-06-01,0.32
365,600880,博瑞传播,2017-06-01,0.13
366,000541,佛山照明,2017-06-01,0.15
367,000777,中核科技,2017-06-01,0.17
368,600594,益佰制药,2017-06-01,0.26
369,002018,华信国际,2017-06-01,0.16
370,000616,海航投资,2017-06-01,0.14
371,002022,科华生物,2017-06-01,0.2
372,000969,安泰科技,2017-06-01,0.11
373,600640,号百控股,2017-06-01,0.1
374,002251,步 步 高,2017-06-01,0.09
375,603005,晶方科技,2017-06-01,0.09
376,002048,宁波华翔,2017-06-01,0.22
377,600151,航天机电,2017-06-01,0.17
378,000528,柳 工,2017-06-01,0.17
379,600517,置信电气,2017-06-01,0.14
380,600536,中国软件,2017-06-01,0.15
381,002588,史丹利,2017-06-01,0.1
382,002269,美邦服饰,2017-06-01,0.13
383,601699,潞安环能,2017-06-01,0.23
384,600422,昆药集团,2017-06-01,0.16
385,000786,北新建材,2017-06-01,0.33
386,002176,江特电机,2017-06-01,0.24
387,002233,塔牌集团,2017-06-01,0.11
388,601001,大同煤业,2017-06-01,0.12
389,002327,富安娜,2017-06-01,0.1
390,601002,晋亿实业,2017-06-01,0.11
391,600259,广晟有色,2017-06-01,0.15
392,000400,许继电气,2017-06-01,0.27
393,600348,阳泉煤业,2017-06-01,0.2
394,002353,杰瑞股份,2017-06-01,0.21
395,600503,华丽家族,2017-06-01,0.26
396,300032,金龙机电,2017-06-01,0.12
397,600499,科达洁能,2017-06-01,0.24
398,600759,洲际油气,2017-06-01,0.19
399,002063,远光软件,2017-06-01,0.13
400,002221,东华能源,2017-06-01,0.25
401,000937,冀中能源,2017-06-01,0.17
402,600380,健康元,2017-06-01,0.18
403,600575,皖江物流,2017-06-01,0.18
404,002106,莱宝高科,2017-06-01,0.15
405,603866,桃李面包,2017-06-01,0.04
406,002354,天神娱乐,2017-06-01,0.14
407,002078,太阳纸业,2017-06-01,0.23
408,600433,冠豪高新,2017-06-01,0.11
409,002437,誉衡药业,2017-06-01,0.16
410,000878,云南铜业,2017-06-01,0.26
411,000566,海南海药,2017-06-01,0.3
412,600366,宁波韵升,2017-06-01,0.18
413,600466,蓝光发展,2017-06-01,0.19
414,002093,国脉科技,2017-06-01,0.09
415,600169,太原重工,2017-06-01,0.17
416,000761,本钢板材,2017-06-01,0.04
417,000031,中粮地产,2017-06-01,0.22
418,600392,盛和资源,2017-06-01,0.18
419,002498,汉缆股份,2017-06-01,0.13
420,300010,立思辰,2017-06-01,0.15
421,000426,兴业矿业,2017-06-01,0.12
422,002340,格林美,2017-06-01,0.36
423,600006,东风汽车,2017-06-01,0.12
424,002161,远 望 谷,2017-06-01,0.11
425,002477,雏鹰农牧,2017-06-01,0.19
426,002371,北方华创,2017-06-01,0.12
